GAME_ID,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,teamSlug,PLAYER_ID,firstName,familyName,NICKNAME,playerSlug,START_POSITION,COMMENT,jerseyNum,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,PLAYER_NAME
0021700370,1610612753,Orlando,Magic,ORL,magic,203613,Jonathon,Simmons,J. Simmons,jonathon-simmons,F,,,33:39,9,17,0.529,1,2,0.5,2,2,1.0,2,2,4,0,0,1,4,4,21,-1.0,Jonathon Simmons
0021700370,1610612753,Orlando,Magic,ORL,magic,203932,Aaron,Gordon,A. Gordon,aaron-gordon,F,,,28:33,5,12,0.417,1,4,0.25,3,5,0.6,2,1,3,2,0,0,1,0,14,-7.0,Aaron Gordon
0021700370,1610612753,Orlando,Magic,ORL,magic,202696,Nikola,Vučević,N. Vučević,nikola-vučević,C,,,32:16,10,19,0.526,1,5,0.2,0,0,0.0,4,13,17,2,1,4,4,1,21,-13.0,Nikola Vučević
0021700370,1610612753,Orlando,Magic,ORL,magic,201167,Arron,Afflalo,A. Afflalo,arron-afflalo,G,,,26:08,2,5,0.4,0,0,0.0,2,2,1.0,2,2,4,0,0,1,0,0,6,-5.0,Arron Afflalo
0021700370,1610612753,Orlando,Magic,ORL,magic,203901,Elfrid,Payton,E. Payton,elfrid-payton,G,,,31:01,3,10,0.3,2,3,0.667,3,4,0.75,0,0,0,6,1,0,1,2,11,-14.0,Elfrid Payton
0021700370,1610612753,Orlando,Magic,ORL,magic,201571,D.J.,Augustin,D. Augustin,dj-augustin,,,,24:51,1,6,0.167,0,4,0.0,4,4,1.0,0,1,1,2,1,0,1,2,6,-13.0,D.J. Augustin
0021700370,1610612753,Orlando,Magic,ORL,magic,1628411,Wes,Iwundu,W. Iwundu,wes-iwundu,,,,16:21,1,3,0.333,0,1,0.0,0,0,0.0,0,3,3,0,1,0,0,1,2,-6.0,Wes Iwundu
0021700370,1610612753,Orlando,Magic,ORL,magic,202687,Bismack,Biyombo,B. Biyombo,bismack-biyombo,,,,12:39,1,3,0.333,0,0,0.0,2,2,1.0,1,5,6,1,0,1,0,2,4,-2.0,Bismack Biyombo
0021700370,1610612753,Orlando,Magic,ORL,magic,201578,Marreese,Speights,M. Speights,marreese-speights,,,,12:06,0,5,0.0,0,2,0.0,2,2,1.0,0,1,1,2,0,0,2,3,2,-3.0,Marreese Speights
0021700370,1610612753,Orlando,Magic,ORL,magic,202714,Shelvin,Mack,S. Mack,shelvin-mack,,,,12:00,0,1,0.0,0,0,0.0,0,2,0.0,0,2,2,2,1,0,1,0,0,-3.0,Shelvin Mack
0021700370,1610612753,Orlando,Magic,ORL,magic,1626209,Mario,Hezonja,M. Hezonja,mario-hezonja,,,,10:26,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,2,2,-3.0,Mario Hezonja
0021700370,1610612753,Orlando,Magic,ORL,magic,203095,Evan,Fournier,E. Fournier,evan-fournier,,DND - Injury/Illness,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,Evan Fournier
0021700370,1610612743,Denver,Nuggets,DEN,nuggets,203115,Will,Barton,W. Barton,will-barton,F,,,43:23,8,16,0.5,1,4,0.25,2,3,0.667,0,6,6,5,4,2,2,3,19,14.0,Will Barton
0021700370,1610612743,Denver,Nuggets,DEN,nuggets,201163,Wilson,Chandler,W. Chandler,wilson-chandler,F,,,25:41,4,5,0.8,1,1,1.0,2,2,1.0,2,2,4,0,0,0,0,2,11,3.0,Wilson Chandler
0021700370,1610612743,Denver,Nuggets,DEN,nuggets,203486,Mason,Plumlee,M. Plumlee,mason-plumlee,C,,,17:49,3,4,0.75,0,0,0.0,0,0,0.0,0,4,4,2,0,3,2,1,6,3.0,Mason Plumlee
0021700370,1610612743,Denver,Nuggets,DEN,nuggets,203914,Gary,Harris,G. Harris,gary-harris,G,,,23:57,5,11,0.455,0,2,0.0,2,2,1.0,0,5,5,1,0,0,3,4,12,3.0,Gary Harris
0021700370,1610612743,Denver,Nuggets,DEN,nuggets,1627750,Jamal,Murray,J. Murray,jamal-murray,G,,,16:38,1,6,0.167,0,1,0.0,0,0,0.0,0,1,1,3,0,0,0,1,2,3.0,Jamal Murray
0021700370,1610612743,Denver,Nuggets,DEN,nuggets,1627736,Malik,Beasley,M. Beasley,malik-beasley,,,,28:40,5,9,0.556,2,4,0.5,0,0,0.0,0,4,4,3,0,0,1,2,12,11.0,Malik Beasley
0021700370,1610612743,Denver,Nuggets,DEN,nuggets,1626144,Emmanuel,Mudiay,E. Mudiay,emmanuel-mudiay,,,,31:22,8,16,0.5,2,5,0.4,0,0,0.0,0,5,5,5,2,0,2,2,18,11.0,Emmanuel Mudiay
0021700370,1610612743,Denver,Nuggets,DEN,nuggets,202702,Kenneth,Faried,K. Faried,kenneth-faried,,,,30:11,8,10,0.8,0,0,0.0,4,5,0.8,4,6,10,0,1,2,1,4,20,11.0,Kenneth Faried
0021700370,1610612743,Denver,Nuggets,DEN,nuggets,1626168,Trey,Lyles,T. Lyles,trey-lyles,,,,22:19,0,8,0.0,0,4,0.0,3,4,0.75,0,5,5,2,0,0,1,1,3,11.0,Trey Lyles
0021700370,1610612743,Denver,Nuggets,DEN,nuggets,201589,Darrell,Arthur,D. Arthur,darrell-arthur,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,Darrell Arthur
0021700370,1610612743,Denver,Nuggets,DEN,nuggets,1627823,Juancho,Hernangomez,J. Hernangomez,juancho-hernangomez,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,Juancho Hernangomez
0021700370,1610612743,Denver,Nuggets,DEN,nuggets,2210,Richard,Jefferson,R. Jefferson,richard-jefferson,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,Richard Jefferson
